Date,Open,High,Low,Close,Adj Close,Volume
7/24/2013,29,32,27.15999985,31.28000069,31.28000069,6203200
7/25/2013,31.04000092,31.46999931,27.76000023,27.78000069,27.78000069,592600
7/26/2013,27.75,29.45000076,27.75,28.53000069,28.53000069,313700
7/29/2013,28.48999977,30.79000092,28.02000046,28.63999939,28.63999939,149400
7/30/2013,28.54999924,29.86000061,28.12000084,29.10000038,29.10000038,77300
7/31/2013,29.36000061,29.36000061,28.51000023,29.15999985,29.15999985,113900
8/1/2013,29.98999977,29.98999977,28.52000046,29.14999962,29.14999962,68200
8/2/2013,29,29,28.23999977,28.84000015,28.84000015,121800
8/5/2013,29.04000092,29.04000092,27.5,28.79999924,28.79999924,56200
8/6/2013,28.75,29.45999908,28.70000076,28.95999908,28.95999908,213400
8/7/2013,29.13999939,30.13999939,29.13999939,29.67000008,29.67000008,101100
8/8/2013,29.80999947,30.38999939,29.10000038,29.85000038,29.85000038,234900
8/9/2013,30.37999916,30.5,29.12999916,30,30,126800
8/12/2013,30.29999924,30.47999954,29.65999985,30.47999954,30.47999954,214900
8/13/2013,30,31.86000061,29.55999947,31.37000084,31.37000084,263500
8/14/2013,31,33.45000076,30.80999947,32.77000046,32.77000046,171600
8/15/2013,33.13999939,33.13999939,31.84000015,32.18000031,32.18000031,109200
8/16/2013,32.47999954,32.97000122,31.40999985,31.90999985,31.90999985,221300
8/19/2013,31.90999985,32.34999847,29.04000092,29.11000061,29.11000061,163600
8/20/2013,28.97999954,29.20000076,26.51000023,26.76000023,26.76000023,148900
8/21/2013,26.80999947,26.80999947,24.55999947,24.79000092,24.79000092,151800
8/22/2013,24.55999947,26,24.54999924,25.46999931,25.46999931,50300
8/23/2013,25.45999908,26.35000038,25.37999916,25.87000084,25.87000084,36400
8/26/2013,25.75,26.45999908,25.5,25.60000038,25.60000038,115400
8/27/2013,25.5,25.63999939,22.34000015,22.64999962,22.64999962,189500
8/28/2013,22.86000061,23.29000092,22.5,23.10000038,23.10000038,182500
8/29/2013,23.71999931,25.47999954,23.42000008,24.87000084,24.87000084,124900
8/30/2013,25.15999985,25.86000061,23.10000038,23.57999992,23.57999992,166300
9/3/2013,24.09000015,25.37999916,23.13999939,23.57999992,23.57999992,95000
